,0,1,2
3296,3297,दाने चीन चला कब्जा जमाने देखिए देशहित,non-hostile
3297,3298,ईशान खट्टर अनन्या पांडे फिल्म होगी ओटीटी रिलीज सैटेलाइट कनेक्शन देख सकेंगे1,non-hostile
3298,3299,तलवे चाटकर फर्ज निभाने अफसर संजीव भट्ट रिहाई कब करो करो लाइक करो करो आवाज रोज,offensive
3299,3300,ओपिनियन अपमानजनक हार वर्तमान भारतीय प्रशासन आक्रामक रुख रखता बीजिंग दोस्ताना संकेतों अनदेखी । चीन हमेशा आक्रामक व्यवहारों बारे भ्रमित महसूस ।,offensive
3300,3301,टोटी नाक लगी इससे चुराकर अंध भक्तों बहन डाल दी पानी गिरने आसान होगी अंध भक्तों बहन तू गलत बहन हत्थे चढ़,offensive
3301,3302,आम्रपाली छह प्रोजेक्ट एसबीआई कैप प्रस्ताव मंजूरी,non-hostile
3302,3303,वीडियो गलवान घाटी । भारतीय सैनिक गणेश उत्सव मना ।,fake
3303,3304,साला शर्म आता गुंडे बदमाश संसद सिस्टम । भारत सारी पार्टियां देखी चाहे कांग्रेस बीजेपी सपा एनसीपी ज्यादा नीच बदतमीज अगर पार्टी आम आदमी पार्टी । कमीनो पीएम बनने जल्दी । 1,defamation
3304,3305,सावधान रहिए सतर्क रहिए संक्रमण बचे रहिए खुद बचिए दूसरों बचाइए । विशेषकर गर्भवती महिलाएं बच्चे बुजुर्ग लोग बीमार विशेष ख्याल चिकित्सा स्वास्थ्य अमित मोहन प्रसाद,non-hostile
3305,3306,सरकार केवल झूठ बोलती वास्तविक मुद्दों ध्यान हटाने कोशिश करती ।,hate
3306,3307,केयर रेटिंग्स जेएसएल क्रेडिट फेसिलिटी रेटिंग अपग्रेड v,non-hostile
3307,3308,vz कमीनी पेड़ प्यार सिर्फ पैसे लेकर तुम्हारा दिल दिमाग तुमको तुम्हारी परिवार लोग गंदी मौत मरेंगे कमीनी तुझे पता चलेगा मौत क्या चीज हरामजादी नंबर हरामजादी हरामखोर,hate
3308,3309,अंबाला जैन बाजार मुल्ले साल लड़की रेप कोशिश जिसमें महिलाओं पकड़ उसको नंगा करके घुमाया घिनौनी सोच व्यक्ति खिलाफ सख्त सख्त कानूनी कार्रवाई होनी चाहिए,fake
3309,3310,अब भांड रण्डी बताएगी किसान क्या सही कभी खेत गई नगी फिल्म नकली स्प्रिंग घोड़े बैठने झांसी रानी बनन जाती बिकाऊ कूतिया,defamation
3310,3311,हरभजन सिंह क्यों गए टीम दुबई,non-hostile
3312,3313,विकास दुबे एनकाउंटर यूपी पुलिस जश्न मना ।,fake
3313,3314,रेव पार्टी मौजूद नशे धुत लोगों पुलिस गिरफ्तार महिलाएं मौजूद थीं,non-hostile
3314,3315,रातों रानी जहर उगलने लगी जातिवाद क्षत्राणी इतिहास पढ़ी मुगलों लेकर अंग्रेजों हर वक्त बिस्तर गर्म खुद बोली मिनट फिल्म काम हीरो सोना पड़ता हिसाब तू हजारों सोई क्या गंदी राजपूत समाज बेटी मानेगी,defamation
3315,3316,ग्वालियर कल हाथ चप्पल महाराज देखकर लोग पूछ क्या सम्मान कांग्रेस छोड़ी,fake
3316,3317,केंद्र सरकार पीएम किसान ट्रैक्टर योजना तहत आधे दाम ट्रैक्टर मुहैया करा ।,fake
3318,3319,जानें किन परिस्थितियों कोरोना कवर करेगी इंश्योरेंस कंपनी v,non-hostile
3319,3320,रिया सुशांत बहन प्रियंका क्यों टारगेट कोरियोग्राफर खुलासा,non-hostile
3320,3321,हमसे चाइना सामान बहिष्कार खुद बैंक ऑफ चाइना भारत ब्रांच खोलने अनुमति देते वाह साहब वाह,fake
3321,3322,बाहुबली फिल्म अभिनेता,fake
3322,3323,कहीं रह हमारी जन्मभूमि गलत बोले हमें कतई पसंद,defamation
3323,3324,vw कुत्ते सदस्यता भंग जाए अपराधी पुराना रिकॉर्ड खंगाल जाए जेल हरामी जगह दिल्ली दंगो साजिशकर्ता क्यो अमित शाह जॉच कराते वाह रेे नीले कोट संविधान अब बदलने वक़्त आ संविधान,offensive
3324,3325,पूर्व राष्ट्रपति प्रणब मुखर्जी निधन,non-hostile
3326,3327,ब्रिटेन प्रधानमंत्री बोरिस जॉनसन यूरोपीय संघ व्यापार समझौते अक्टूबर समय,non-hostile
3327,3328,देश राज्यों शुरू मेट्रो सेवाएं जगह कोविड तहत सावधानियों रखा ध्यान,non-hostile
3328,3329,साली कमीनी कही गरीबो तरफ आंख उठा वी नही देखी कभी चली शेरनी बनने । ड्रग चाटती अब लोगों दिमाग चाट,defamation
3329,3330,दिल्ली प्रधानमंत्री नरेंद्र मोदी पूर्व राष्ट्रपति,non-hostile
3330,3331,विश्व भर नेताओं दी प्रणब मुखर्जी श्रद्धांजलि बजे अंतिम संस्कार1,non-hostile
3331,3332,आ कनेक्टिविटी वाला सस्ता जानें दाम स्पेसिफिकेशन्स,non-hostile
3332,3333,अमेरिकी डी एन ए विशेषज्ञ दावा राजीव गाँधी बेटे राहुल । क्या राहुल गाँधी पूर्व प्रधानमंत्री राजीव गाँधी संतान,fake
3333,3334,दिल्ली किसान डेरा डाले नक्सली देशद्रोही केजरीवाल अगर केजरीवाल अगर हॉस्पिटल स्कूल बनाने सिवा काम राहलु अगर पंजाब कर्णाटक कर्जा माफ बड़ी बात मोदी कॉर्पोरेट बडा कर्जा माफ़ किसान देश तरकी रोड़ा एवमेव ब्लू टिक ट्विटर हैंडल ट्वीट,fake
3334,3335,प्रयागराज डॉ कफील खान बड़ी राहत इलाहाबाद हाईकोर्ट हटाया रिहाई आदेश1,non-hostile
3335,3336,सुशांत केस बनेगी फिल्म सितंबर फिल्म शुटिंग होगी शुरू1,non-hostile
3337,3338,सख्त नियमों बीच जेईई मेंस परीक्षा दिखी न्यू नॉर्मल झलक1,non-hostile
3338,3339,मानवता समरसता आत्मीयता शिक्षा दीप्त गुरु ग्रंथ साहिब मानव कल्याण हेतु पथ प्रदर्शक । गुरु ग्रंथ साहिब प्रथम प्रकाश पर्व बधाई गुरु आशीष बना,non-hostile
3339,3340,विडियो कॉन्फ्रेंसिंग केंद्रीय मंत्री नवसृजित पटना साहिब डाक प्रमंडल नवसृजित लोहियानगर प्रधान डाकघर खुसरुपूर उप डाकघर भवन लोकार्पणविवरण yv,non-hostile
3340,3341,दुनिया भविष्य तेजी बदलते लेकर चर्चा । पॉलिसी देश युवाओं भविष्य आवश्यकताओं मुताबिक दोनों मोर्चों तैयार करेगी,non-hostile
3341,3342,ट्रस्ट बनाकर पैसे हड़पने साजिश देखिए महाभारत सुचरिता कुकरेती रिपब्लिक भारत w,non-hostile
3342,3343,yy अबे साले इतिहास भुगोल तेरा बाप हु नाम पिछे सरनेम नहि पढा क्या,offensive
3343,3344,तीस करोड़ देश जलाने दिल्ली जयपुर बंगलुरू जलाने कोरोना फैलाकर देश आर्थिक तबाही देनें दानव जल्लाद अल्पसंख्यक मुसलमान दानव बम विस्फोटक अधिक विस्फोटक सबों बालू रेत बोरी भरकर अरब रेत डिफ्यूज़ कुत्तों खेल ख़त्म करो,hate
3344,3345,गंदी नाली कीड़े माँ पूछ हरामखोर पैदा तू । साले हलाला औलाद,hate
3345,3346,व्यक्ति सम्पूर्ण भाजपा आरएसएस गोदी मीडिया भाजपा आईटी सेल अकेले लड़ हमारे नेता ।,fake
3346,3347,रोजगार जुमला नही ।,non-hostile
3347,3348,नेहरू अय्याश भक्त इतने कॉन्फिडेंस दादी पर्सनली वेरिफाई करके बताया,defamation
3348,3349,मान्य मामा भूमाफिया मामला कार्यकाल क्यों भूमाफिया छेत्र अवेध उत्खनन छेत्र ऐसा क्यों कार्यवाही करनीचाहिए । परन्तु संगरक्षण किशन मौत नही येपूरे प्रदेश किसानों मौत,fake
3349,3350,कोरोना वायरस दवा खोज हमारे वैज्ञानिकों गृहमन्त्री विचार विमर्श हुवे ।,fake
3350,3351,टेर्ररिस्ट डोनेशन बाय कांग्रेस,fake
3351,3352,जलियांवाला बाग अंग्रेजों बिहार जिले बरसाई गोलियां लोग शहीद,non-hostile
3352,3353,नेता नगरी सौरभ द्विवेदी बात राजदीप सरदेसाई मुद्दों देश औंधे मुंह गिरी अब भविष्य क्या होगाडिजिटल एक्टिविज़्म सहारे सरकार चुनौती देते युवा चीन तनाव बीच बात सरकार वाहवाही,non-hostile
3353,3354,सपा बसपा कांग्रेस वफ़ा ढूंढ बड़े नादान दोस्तों ज़हर शीशी दवा ढूंढ,hate
3354,3355,विश्व नंबर टेनिस खिलाड़ी नोवाक जोकोविच अमरीकी ओपन टेनिस बाहर गए । जोकोविच चौथे दौर मुकाबले रेफरी अयोग्य घोषित टूर्नामेंट बाहर पड़ा ।,non-hostile
3355,3356,चीनी सैनिकों भड़काऊ कोशिश भारतीय सैनिकों नाकाम विदेश मंत्रालय1,non-hostile
3356,3357,तमिल सुरगा पक्षी जाता । वीडियो कैप्चर फोटोग्राफरों दिन लगे । असामान्य पक्षी वीडियो शेयर ।,fake
3357,3358,प्रकाश जावड़ेकर हरामजादा कमीना कुत्ता भड़वा वामपंथी विचारधारा साल हरामी खींसे निपोरने सिवाय सोनिया प्लांट नीच आदमी मोदी धोखा दे,defamation
3359,3360,बाकी हर बिल पास कराने राजसभा बहुमत मिल जाती काम मिल तीन तलाक मिल गई मिल गई परसेंट आरक्षण मिल गई मिल जाएगी,defamation
3360,3361,कमियां संविधान होगी तभी संविधान अनुरूप चल पा संविधान कमियां मजाल संविधान खिलाफ जाकर काम दे,hate
3361,3362,हिन्दुत्व नींव मोदीजी रखी यकीन रखिए उसपर शानदार इमारत योगीजी खड़ी करेंगे देते रहें राम🚩1,offensive
3362,3363,पूर्व राष्ट्रपति प्रणब मुखर्जी विनम्र,non-hostile
3363,3364,कराची जिन्ना गार्डन इलाके पाकिस्तान इंटरनेशनल एयरलाइंस क्रैश आखिरी फोटो,fake
3364,3365,रामायण देखकर अदभुत ज्ञान मिला । रावण दरबार चमचे थेऔर प्रभु श्रीराम सेना भक्त,defamation
3365,3366,वाइस एडमिरल एसआर सरमा एवीएसएम वीएसएम सामग्री भारतीय नौसेना प्रमुख रूप कार्यभार संभाला विवरण,non-hostile
3367,3368,चोरो अब जवाब  1,offensive
3368,3369,लद्दाख चुमार एलएसी घुसपैठ कोशिश भारतीय सेना चौकसी देखकर चीनी सैनिक भाग गए vw,non-hostile
3371,3372,सुशील मोदी बोले बिहार गठबंधन राजनीति वास्तविकता दल बूते बना सरकार,non-hostile
3372,3373,सारे मन्दिर मन्दिर मन्दिर रहेंगे । कहीं गड़बड़ छोड़ी जायेगी वापस दुरुस्त मन्दिर बनायेगे ।,offensive
3373,3374,जनपद गोरखपुर कृषि मंडी निरीक्षण तथा किसानों व्यापारियों वार्ता मंडी समिति प्रदत्त सुविधाओं व्यवस्थाओं विषय जानकारी प्राप्त ।,non-hostile
3374,3375,लाख रूपये महीने तनख्वाह लेडी मेकअप आर्टिस्ट हाथो सज धज रोने निकले नौटंकीबाज ।,fake
3375,3376,पश्चिम बंगाल गाँव क़ानून” लागू गाँव देखना शराब पीने फ़ोन रखने गाने सुनने वालो फ़तवा जारी जाता सजा दी जाती,fake
3376,3377,अगर खतरे भाग जाते हैंआखिर मा बेटे कहां जाते जबाब देगा ऐसा सा गुप्त रोग इलाज भारतीय डॉक्टर,offensive
3378,3379,गुजरात नकली नोटों भंडार पकड़ा ईमानदार संघ समर्थक केतन दवे कार मिला नकली नोटों जखीरा बन्द करके छापने संचालन काम इनको दे देना चाहिये,defamation
3379,3380,डॉक्टर कफ़ील मामले उच्च न्यायायलय तुरन्त रिहा उनपर लागू आदेश जारी उत्तर प्रदेश सरकार तानाशाही चेहरे जोरदार तमाचा,fake
3380,3381,बड़ी खबर प्रियंका गांधी वाड्रा निजी सचिव सन्दीप सिंह कांग्रेस प्रदेश अध्यक्ष अजय लल्लू दर्ज । प्रवासी मजदूरों कांग्रेस दी गयी उत्तरप्रदेश सरकार बसों लिस्ट गलत जानकारी देने आरोप बसों नंबर ऑटो एम्बुलेंस नंबर मिले ।,defamation
3381,3382,फैसला टेलीकॉम कंपनियां साल चुका सकेंगी एजीआर रकम अगले साल अप्रैल शुरू होगी टाइमलाइन देरी डिफॉल्ट ब्याज पेनाल्टी लगेगी 1,non-hostile
3382,3383,पालघर मॉब लिचिंग पीड़ित परिवार सीबीआई जांच मांग असंतुष्ट,non-hostile
3383,3384,गब्बू फेकू अंबानी अडानी रिश्तेदार नागपुर वाली एम्स बन गई बिहार दरभंगा वाली एम्स अलार्म्स चुनाव देखते फेंकने लगा झूठ,offensive
3384,3385,इलाहाबाद हाईकोर्ट डॉ कफील खान जल्द रिहाई आदेश भड़काऊ भाषण गिरफ्तार1,non-hostile
3385,3386,बिहार स्वास्थ्य विभाग पोल्ट्री मुर्गी पुन जांच कोरोना वायरस पुष्टि ।,fake
3386,3387,अच्छा हमलोग मार्शल वर्ना टिकट ब्लैकिया पटक साले गांड पेट्रोल डाल देते,hate
3387,3388,तस्वीर दिख दोनों महिलाएं,fake
3388,3389,सुशांत केस जाँच बजाय अगर पुलिस करती अब रि रिश्तेदार उसकी तेरही भोज खाकर घरों,hate
3390,3391,कन्हैया कुमार मुसलमान इससे बड़ा सबूत क्या चाहिए आपको वीडियो जरूर देखना,fake
3391,3392,बीच सीमा विवाद मॉस्को बैठक भारत चीन छोड़े विस्तारवादी नीतिरिपोर्टः,non-hostile
3392,3393,देशभर कल परीक्षा मुंबई छात्रों अभिवावकों लोकल ट्रेन यात्रा इजाजत1,non-hostile
3393,3394,तस्वीर शख़्स मिस्र बच्चों अपहरण पकड़ा । व्हाट्सएप्प फैलने वाली तस्वीर कैप्शन मिलिए जामिया महिला ।,non-hostile
3394,3395,भारतीय जवान मुँह सुने उसने हमारे प्रधानमंत्री हमें समझ हमारे शब्द सुन हमारे कश्मीरी मुसलामानों मारने ज़बरदस्ती जाती वो हमारी आवाज़ सुने डिटेल वीडियो देखें,fake
3398,3399,हमारे किसानों कोरोना कठिन परिस्थितियों ताकत साबित । देश किसानों बधाई देता हूं परिश्रम नमन हूं ।,non-hostile
3399,3400,कृपया संज्ञान लेकर आवश्यक कार्यवाही ।,non-hostile
3400,3401,मां बेटे रुटीन हेल्थ चेक विदेश गये क्या नेहरु बनाये एम्स सुविधा नही क्या अब संसद आंख मारेगा,defamation
3402,3403,सारे एग्जाम कराए लिस्ट अच्छी जगह आ जाएगी कम कम । बोलने लोग ।,offensive
3403,3404,सुशांत परिवार वकील,non-hostile
3404,3405,हर अहंकारी विनाश कारण नारी द्वापर लेकर कलयुग अनेकों उदाहरण,defamation
3405,3406,दोनों बीविओं तुझे छोड़ इंसान कमीना बोले वोह पागल कहलाता पूरी दुनिया कहे मान ले बेटा तू चू,defamation
3406,3407,मुख्यमंत्री बाढ़ प्रभावित जनपदों जिलाधिकारियों बाढ़ फसलों नुकसान सर्वे कराकर कृषकों शीघ्र मुआवजा प्रदान निर्देशित गृह सूचना,non-hostile
3407,3408,धोनी टीम आयी खुशख़बरी जानिए क्या मामला,non-hostile
3408,3409,मनोज सिन्हा हजरतबल सुविधा जायजा लिया,non-hostile
3409,3410,फिलहाल क्या झांठ उखाड़ लेगा तू अबे साले फस तेरे बदतमीजी बंद तेरी गांड तेल लगाकर पुलिस डंडा डालेगी तेरी भाषा सही होगी कुत्ता साले माफी मांगने कह हूं साले तुम्हारा दिमाग जिससे तुम्हारी जिंदगी बच जाए,hate
3410,3411,प्रशांत भूषण सजा सुनाए जाने बोले कुमार विश्वास सजा बढ़ाया,non-hostile
3411,3412,बहुजनो आरक्षण शब्द जगह हिस्सेदारी शब्द प्रयोग चाहीए हिस्सेदारी शब्द हमारे हक संबोधित 1,offensive
3412,3413,किस्तों दिल्ली रुपये महंगा पेट्रोल जानें दाम v,non-hostile
3413,3414,गांव चट्ठा नन्हेड़ा जिला संगरुर पंजाब ग्रामीणों फैसला कोरोना टेस्ट नही करवायेंगे । कोरोना आड़ मानव अंग तस्करी गंदा खेल चल,non-hostile
3414,3415,सुप्रीम कोर्ट उज्जैन महाकालेश्वर मंदिर शिवलिंग पंचामृत चढ़ाने लगाई रोक v,non-hostile
3415,3416,आरोपी महिला चौकीदार बीच बात लेकर कहासुनी महिला चौकीदार हमला बोल,non-hostile
3416,3417,मोदी सरकार भारत टन सोना विदेश गिरवी रख । चंद्र शेखर टन सोना गिरवी रखा मिडिया बोला टन सोना सरकार गिरवी रख पता चला क्या बोलिये सोते रहिये,fake
3417,3418,शहरों फोकस धार्मिक स्थलों जिम छूट ऐसा लॉकडाउन,fake
3419,3420,कोरोना देश में रेल मंत्रालय ज्यादा स्पेशल ट्रेनें चलाने राज्य सरकारों सलाह ले देश अब लाख मामले,non-hostile
3420,3421,तू मरा सुना कही कुत्तो कोरोना लगा सोचा चलो आतंकी कम साला तू जिंदा सही भगवान अच्छे लोगों जरुरत कमीनो नही शायद इसलिए ।,hate
3421,3422,गंदी गंदी गाली देता फोन करके अश्लील बात जान मारने धमकी बिहार पुलिस पुलिस टैग करके डर वातावरण पैदा जाती पुलिस धमकाया जाती फोन करके गाली दी जाती हजारों नंबर कॉल दिन भर परेशान जाती सीरिया बदतर हालात भारत,offensive
3422,3423,अपनें शामिल दुश्मनों चाल शेर फस जाता कुत्तों जाल ।,hate
3423,3424,कोरोना मुश्किल वक्त दिल्ली बैंक्वेट हॉल्स एसोसिएशन सहयोग योगदान सराहनीय । अब हमें भविष्य काम दिल्ली अर्थव्यवस्था पटरी लाना ।,non-hostile
3424,3425,लड़ाई सुप्रीम कोर्ट लड़ी जाएगी । देख एनआरसी अयोध्या कश्मीर मामलों संबंध सर्वोच्च न्यायालय मानवता समानता धर्मनिरपेक्षता रक्षा उदाहरण स्थापित । निश्चित रूप पीछा करेंगे हमारा सर्वोच्च न्यायालय निर्णय संसद लिया जाएगा सर्वोच्च न्यायालय । देश भविष्य युवा बच्चों देश देना चाहते कहां तय जाएगा सड़कों । वजह सड़कों ।,fake
3425,3426,मुसलमानों ज्ञान देता मुसलमान बुद्धिजीवी भीड़ बैठे आस पास रहते होंगे काफिरोंआओ मै उम्मीद हूं वीडियो देखने थोड़ा मन संका भाई चारे वो निकल जाएगा हर हिंदू वीडियो पहुंचनी चाहिए,hate
3426,3427,साल विकास दर शून्य ऊपर रहने संभावना खारिज रंगराजन v,non-hostile
3427,3428,कंगना रनौत संजय राउत बीच वार पलटवार चल मुंबई घसीटा पीओके नेताओं हल्के बोल दिखे विवाद राय कॉमेंट्स,non-hostile
3429,3430,वैश्विक महामारी कोविड त्रासदी मध्य कल विधान मंडल सत्र प्रारंभ । कोविड प्रोटोकॉल तथा विधानसभा सचिवालय व्यवस्था पालन करके संदेश देने प्रयास होगा प्रकार सम विषम परिस्थितियों लोकतांत्रिक प्रक्रियाओं बढ़ा ।,non-hostile
3430,3431,राहुल गांधी सुरक्षा आवभगत लेकर शाही परिवार दिनों बैठकों दौर जारी प्रिंस सलमान राहुल गांधी मेहमाननवाजी वरिष्ठ मंत्रियों अधिकारियों शेखों तैनात,fake
3431,3432,आजम खान बेटी कलर बता । तस्वीर दिख औरत आज़म ख़ान बेटी,fake
3432,3433,समस्या लोग स्वीकार ऐसी समस्या बारे चर्चा प्रधानमंत्री शहरों हवा बदलाव लाकर दिखाएंगे धन्यवाद हूं केंद्रीय मंत्री 1,non-hostile
3434,3435,धमकी भरे कॉल बढ़ाई गई उद्धव ठाकरे आवास सुरक्षा,non-hostile
3435,3436,पूर्ण आखिरी एकीकरणहम संविधान अनुच्छेद समाप्त देंगे राज्य पूर्ण अंतिम एकीकरण जम्मू कश्मीर अलग अलगाववादी आधार खड़ा । भाजपा चुनावी घोषणा पत्र,non-hostile
3436,3437,लोक जनशक्ति पार्टी बैठक चिराग पासवान समेत बड़े नेता मौजूद ।,non-hostile
3437,3438,तूं बता हलवाई काम वाला कचरी फुलौरी समोसा बनाकर बेचने वाला हजार करोड़ मालिक कैसे बना तुम्हारी बहन करोड़ हीरे हार सी धंधा करके खरीदी यादव नौकरी करे संपत्ति मामले कम गाय भैंस खेती नौकरी तूं इनकम जरिया बता,defamation
3438,3439,स्वस्थ लोग मास्क पहनते सौजन्य भारत सरकार,fake
3439,3440,राष्ट्रीय सुरक्षा क़ानून गलत इस्तेमाल क़ानूनी विशेषज्ञ प्रेस रिव्यू,non-hostile
3440,3441,पूर्व राष्ट्रपति,non-hostile
3442,3443,कितने व्यापारी होंगे आत्महत्या कगार छोटी सी कारोबार करती हूं लाख अधिक छाती गई खुद आत्महत्या सोच हिम्मत जुटा जिंदा हूं,defamation
3443,3444,मीडिया वायरस मुताबिक रिया चक्रवर्ती अगर बेल नही मिला भारत कोरोना खत्म जायेगा ससुरे दिमाग दही,defamation
3444,3445,हैरान देने वाला घोटाला साल महिला महीने आठ बच्चियों जन्म मामले बीजेपी शासित राज्यों आते मोदी पेट फट जाने खाउगा छिपाउगा खाने भ्रष्टाचारीयो अपनाउगा वाली नीति तहत बिहार ,defamation
3445,3446,क्या सच्चा मुसलमान कभी ऐसा नही मतलब क्या समझा जाये शाहरुख खान सच्चे मुसलमान नही ओ मात्र करोड़ रुपये,defamation
3446,3447,अयोध्या साल साधु भूख चलते मौत गई । पुलिस साधु अंतिम संस्कार,fake
3447,3448,चीन वायरस भेजकर दुनिया धोखा इसीलिए अब सजा मिल वीडियो लगभग साल जापान आई सुनामी,hate
3448,3449,पूछता भारत तुने बनाया क्यूँ,offensive
3449,3450,बैंक लोन साल बढ़ सकती छूट केंद्र,non-hostile
3450,3451,मिजोरम सब्जी मंडी सामाजिक दूरियों बनाए रखती ।,fake
3451,3452,कर्नाटक इस्तीफा देने विधायकों मामले यथास्थिति बनाए रखने आदेश जुलाई सुनवाई,non-hostile
3452,3453,देश कोविड नए मामले संक्रमितों संख्या,non-hostile
3453,3454,v विश्वास जतानेवालों भारत तीसरे नंबर सर्वे खुलासा1,non-hostile
3454,3455,पूर्व राष्ट्रपति,non-hostile
3455,3456,प्रधानमंत्री आवास योजना तहत लाख अधिक आवास निर्मित उत्तर प्रदेश देश मिला प्रथम स्थान,hate
3456,3457,रोजी बचा रोजगार बचा नौकरी बची लोगों वायलेंस जीडीपी माइनस हकीकत गवार मूर्ख चोर हाथ देश जाने देश नागरिक हालत भक्तो ठोको ताली भारत चली गई वापस आना संभव परसेंट नागरिक भुखमरी कगार,hate
3457,3458,चाय बेचने वाला मोदी लाख कोट पेंट कहां लाया सी धंधा परिवार मां बहन कराती लाख कोट पेंट खरीदी तू बता तुम्हारे पास सी धंधा तुम्हारी बहन करोड़ हीरे हार खरीदी,defamation
3458,3459,केन रिचर्डसन आईपीएल बाहर अब खिलाड़ी एंट्री,non-hostile
3459,3460,यूपी बलिया जिले मुस्लिम महिला उसकी बेटी जानबूझकर कार चढ़ाई गई जिसमें दोनों मौत गई,fake
3460,3461,सत्ता चाहे कांग्रेस अब भाजपा दोनो बात पूरे प्रदेश कॉमन वो लूट । देखिये प्रकार टोल नाकों लूटा धमकाया । v v,non-hostile
3461,3462,साले मुल्ले मरने बॉडी जलाते देश जला । खाते गद्दार ।,defamation
3462,3463,राशन कार्डों सापेक्ष राशन कार्डों खाद्यान्न वितरण गृह सूचना,non-hostile
3463,3464,केंद्र भाजपा सरकार बेचने आमादा । आत्म निर्भरता नाम भाजपा निजीकरण बढ़ावा दे प्राइवेट कंपनियों नई शिक्षा नीति दिशा केंद्र प्रयोग । डर इससे गरीब गुरुवा बच्चें शिक्षा रोज़गार वंचित रह जायें ।,hate
3464,3465,कबीर सिंह तोड़े कमाई सारे रिकॉर्ड साल बड़ी फिल्म जानें कलेक्शन,non-hostile
3465,3466,सुशांत केस ड्रग पेडलर गिरफ्तार1,non-hostile
3466,3467,रिश्ता क्या कहलाता । तमाचा चीन कांग्रेसी गाल सहलाता । । सीमा हर हरकत अनदेखी । लाल आंखें छोड़ो नजर मिलाने डरते । ।,hate
3467,3468,ह मप्र बीजेपी कार्यकर्ता मुस्लिम युवक प्रताड़ित,fake
3468,3469,फोटो स्टोरी सड़क गड्ढों पंक्चर ट्यूब लीकेज चेक लेता मिस्त्री नर्मदा जलस्तर घटा लोग अब तंबुओं,non-hostile
3469,3470,वीं वीं बोर्ड डेटशीट जुलाई वाली परीक्षाओं टाइम टेबल,fake
3470,3471,जनपद खीरी ग्राम त्रिकोलिया पढुआ थाना मृत्‍यु 1,non-hostile
3471,3472,बिपिन रावत पता कीजिए बातचीत लद्दाख कब युद्ध,defamation
3472,3473,एम एम ई मंत्री नितिन गडकरी भिवाड़ी प्रौद्योगिकी केंद्र उद्घाटन,non-hostile
3473,3474,तबरेज अंसारी बीवी लगाई फांसी ।,fake
3474,3475,माह,non-hostile
3475,3476,मिसिसिप्पी स्टेट यूनिवर्सिटी पढ़ने अमरेंद्र बेहतर नौकरी प्रस्ताव ठुकरा आरा यूनिवर्सिटी जुड़े अमरेंद्र कहना यूनिवर्सिटी बेहतरी उठाए कदमों कारण निशाना बनाया,non-hostile
3476,3477,कोग्रेस कमीनी गद्दार,defamation
3477,3478,नचनिया अवैध निर्माण कार्रवाई बीजेपी दलाल मिडिया संघियो भगदड़ मच गई सोचो अडानी अंबानी बेचीं गई,hate
3478,3479,अमेरिका रक्षा विभाग चीन दशक परमाणु हथियारों भंडार दोगुना योजना बना,non-hostile
3479,3480,पश्चिम बंगाल हुगली तेलिनीपारा हालत बदतर चली । हिंदुओं रहने । जला दिए गए बम फेंके काली मंदिर तोड़फोड़ गई । पुलिस,hate
3480,3481,साला सही जेब कतरा होगा,offensive
3481,3482,देश चौकीदार चाय वाला चोर । बार फेसबुक पोस्ट बग्गा टी शर्ट पहने दिखाया जिसमें चौकीदार चाय वाला चोर ।,fake
3482,3483,मादर जात साला हराम खोर,hate
3484,3485,अगर बंगाल हिन्दुओ अत्याचार खिलाफ आवाज नही उठा समझ लेना भविष्य अत्याचार आवाज नही उठाएगा जल बंगाल ममता मरताहिन्दूजलताबंगाल,fake
3485,3486,गिरिराज सिंह जनसंख्या वृद्धि धर्म जोड़ा भारत सांस्कृतिक विभाजन बढ़ हैपढ़ें खबर,non-hostile
3486,3487,जम्मू कश्मीर आतंकवादियों मुठभेड़ शहीद वीर जवानों सादर नमन । राष्ट्र सेवा सर्वस्व अर्पित वीरों समक्ष समस्त देशवासी नतमस्तक । राष्ट्र रक्षार्थ बलिदान युगों हमें प्रेरित रहेगा । सादर श्रद्धांजलि,non-hostile
3488,3489,कंगना रनौत संजय राउत पलटवार वो अनाप शनाप बोलती देख लेंगे vy,non-hostile
3489,3490,पत्नी बेहोश बनाता अप्राकृतिक संबंध मुकदमा दर्ज,non-hostile
3490,3491,त्वरित सहायता हेतु कृपया डायल आवश्यक कार्यवाही हेतु कोसूचित,non-hostile
3491,3492,कंगना ऑफिस वालो उखाड़ा न्यूज़ चैनल बहस चल जामिया मिल्लिया इस्लामिया लाइब्रेरी,offensive
3492,3493,भाषण मौजपुर चौक राजपूत मौजूद । बंदूकधारी गिरफ़्तार । बंदूकधारी गिरफ़्तार अलग दिखता उसका नाम शाहरुख़ ।,fake
3493,3494,आईसीएमआर अनुसार पिछले घंटे दौरान लोगों कोविड सैंपल टेस्ट जबकि देश भर अब कोरोना सैंपल जांच चुकी ,non-hostile
3494,3495,महात्रया रा कॉलम फिल्टरिंग टाइम्स पार खूबसूरत दुनिया हमारा इंतजार 1,non-hostile
3495,3496,कोविड मरीज़ बनाया चमगादड़ शारीरिक संबंध,fake
